id,mz,height,intensity_range:min,intensity_range:max,rt,rt_range:min,rt_range:max,area,mz_range:min,mz_range:max,charge,datafile:PreIS__1100_1500_d171-r001.mzML:mz,datafile:PreIS__1100_1500_d171-r001.mzML:feature_state,datafile:PreIS__1100_1500_d171-r001.mzML:area,datafile:PreIS__1100_1500_d171-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:fwhm,datafile:PreIS__1100_1500_d171-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_d171-r001.mzML:height,datafile:PreIS__1100_1500_d171-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:rt,datafile:PreIS__1100_1500_d171-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d171-r001.mzML:isotopes,datafile:PreIS__1100_1500_d171-r001.mzML:charge,datafile:PreIS__1100_1500_d171-r002.mzML:mz,datafile:PreIS__1100_1500_d171-r002.mzML:feature_state,datafile:PreIS__1100_1500_d171-r002.mzML:area,datafile:PreIS__1100_1500_d171-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:fwhm,datafile:PreIS__1100_1500_d171-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_d171-r002.mzML:height,datafile:PreIS__1100_1500_d171-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:rt,datafile:PreIS__1100_1500_d171-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d171-r002.mzML:isotopes,datafile:PreIS__1100_1500_d171-r002.mzML:charge,datafile:PreIS__750_1150_d171-r001.mzML:mz,datafile:PreIS__750_1150_d171-r001.mzML:feature_state,datafile:PreIS__750_1150_d171-r001.mzML:area,datafile:PreIS__750_1150_d171-r001.mzML:mz_range:min,datafile:PreIS__750_1150_d171-r001.mzML:mz_range:max,datafile:PreIS__750_1150_d171-r001.mzML:fwhm,datafile:PreIS__750_1150_d171-r001.mzML:tailing_factor,datafile:PreIS__750_1150_d171-r001.mzML:height,datafile:PreIS__750_1150_d171-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_d171-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_d171-r001.mzML:rt,datafile:PreIS__750_1150_d171-r001.mzML:rt_range:min,datafile:PreIS__750_1150_d171-r001.mzML:rt_range:max,datafile:PreIS__750_1150_d171-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_d171-r001.mzML:isotopes,datafile:PreIS__750_1150_d171-r001.mzML:charge,datafile:PreIS__400_800_d171-r002.mzML:mz,datafile:PreIS__400_800_d171-r002.mzML:feature_state,datafile:PreIS__400_800_d171-r002.mzML:area,datafile:PreIS__400_800_d171-r002.mzML:mz_range:min,datafile:PreIS__400_800_d171-r002.mzML:mz_range:max,datafile:PreIS__400_800_d171-r002.mzML:fwhm,datafile:PreIS__400_800_d171-r002.mzML:tailing_factor,datafile:PreIS__400_800_d171-r002.mzML:height,datafile:PreIS__400_800_d171-r002.mzML:intensity_range:min,datafile:PreIS__400_800_d171-r002.mzML:intensity_range:max,datafile:PreIS__400_800_d171-r002.mzML:rt,datafile:PreIS__400_800_d171-r002.mzML:rt_range:min,datafile:PreIS__400_800_d171-r002.mzML:rt_range:max,datafile:PreIS__400_800_d171-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_d171-r002.mzML:isotopes,datafile:PreIS__400_800_d171-r002.mzML:charge,datafile:PreIS__750_1150_d171-r002.mzML:mz,datafile:PreIS__750_1150_d171-r002.mzML:feature_state,datafile:PreIS__750_1150_d171-r002.mzML:area,datafile:PreIS__750_1150_d171-r002.mzML:mz_range:min,datafile:PreIS__750_1150_d171-r002.mzML:mz_range:max,datafile:PreIS__750_1150_d171-r002.mzML:fwhm,datafile:PreIS__750_1150_d171-r002.mzML:tailing_factor,datafile:PreIS__750_1150_d171-r002.mzML:height,datafile:PreIS__750_1150_d171-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_d171-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_d171-r002.mzML:rt,datafile:PreIS__750_1150_d171-r002.mzML:rt_range:min,datafile:PreIS__750_1150_d171-r002.mzML:rt_range:max,datafile:PreIS__750_1150_d171-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_d171-r002.mzML:isotopes,datafile:PreIS__750_1150_d171-r002.mzML:charge,datafile:PreIS__400_800_d171-r001.mzML:mz,datafile:PreIS__400_800_d171-r001.mzML:feature_state,datafile:PreIS__400_800_d171-r001.mzML:area,datafile:PreIS__400_800_d171-r001.mzML:mz_range:min,datafile:PreIS__400_800_d171-r001.mzML:mz_range:max,datafile:PreIS__400_800_d171-r001.mzML:fwhm,datafile:PreIS__400_800_d171-r001.mzML:tailing_factor,datafile:PreIS__400_800_d171-r001.mzML:height,datafile:PreIS__400_800_d171-r001.mzML:intensity_range:min,datafile:PreIS__400_800_d171-r001.mzML:intensity_range:max,datafile:PreIS__400_800_d171-r001.mzML:rt,datafile:PreIS__400_800_d171-r001.mzML:rt_range:min,datafile:PreIS__400_800_d171-r001.mzML:rt_range:max,datafile:PreIS__400_800_d171-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_d171-r001.mzML:isotopes,datafile:PreIS__400_800_d171-r001.mzML:charge
82,787.6344,1.2E3,5.7E1,1.2E3,8.66,8.62,8.71,6.6E1,787.6253,787.9000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,787.6344,DETECTED,6.6E1,787.6253,787.9000,0.07,1.17,1.2E3,5.7E1,1.2E3,8.66,8.62,8.71,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
83,787.5995,1.1E3,2.8E2,1.1E3,8.79,8.75,8.84,6.2E1,787.5989,787.7833,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,787.5995,DETECTED,6.2E1,787.5989,787.7833,0.06,1.17,1.1E3,2.8E2,1.1E3,8.79,8.75,8.84,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
84,800.4945,6.6E2,1.6E2,6.6E2,9.27,9.23,9.32,3.8E1,800.4836,800.4973,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,800.4945,DETECTED,3.8E1,800.4836,800.4973,0.06,1.17,6.6E2,1.6E2,6.6E2,9.27,9.23,9.32,1.33,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
85,800.4945,6.6E2,1.6E2,6.6E2,9.27,9.23,9.32,3.8E1,800.4836,800.4973,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,800.4945,DETECTED,3.8E1,800.4836,800.4973,0.06,1.17,6.6E2,1.6E2,6.6E2,9.27,9.23,9.32,1.33,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
86,787.9999,1.2E3,3.8E2,1.2E3,9.44,9.40,9.49,7.1E1,787.7833,788.0002,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,787.9999,DETECTED,7.1E1,787.7833,788.0002,0.06,1.17,1.2E3,3.8E2,1.2E3,9.44,9.40,9.49,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
87,823.2000,1.2E3,2.7E2,1.2E3,9.58,9.54,9.63,6.9E1,822.9000,823.2001,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,823.2000,DETECTED,6.9E1,822.9000,823.2001,0.06,1.17,1.2E3,2.7E2,1.2E3,9.58,9.54,9.63,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
88,801.5892,1.1E3,5.0E1,1.1E3,9.61,9.57,9.69,6.7E1,801.1000,801.6000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,801.5892,DETECTED,6.7E1,801.1000,801.6000,0.06,1.16,1.1E3,5.0E1,1.1E3,9.61,9.57,9.69,1.28,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
89,899.9998,1.2E3,2.4E2,1.2E3,9.63,9.58,9.67,6.5E1,899.9997,900.0000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,899.9998,DETECTED,6.5E1,899.9997,900.0000,0.07,0.88,1.2E3,2.4E2,1.2E3,9.63,9.58,9.67,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
90,801.4992,1.5E3,5.1E1,1.5E3,9.79,9.72,9.83,8.8E1,801.2560,801.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,801.4992,DETECTED,8.8E1,801.2560,801.5000,0.06,0.88,1.5E3,5.1E1,1.5E3,9.79,9.72,9.83,0.80,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
91,802.0007,5.2E2,1.3E2,5.2E2,9.85,9.80,9.89,3.0E1,801.9982,802.3250,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,802.0007,DETECTED,3.0E1,801.9982,802.3250,0.06,0.87,5.2E2,1.3E2,5.2E2,9.85,9.80,9.89,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
92,853.8692,5.4E3,9.5E1,5.4E3,9.98,9.93,10.01,1.6E2,853.7999,854.1916,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,853.8692,DETECTED,1.6E2,853.7999,854.1916,0.02,0.62,5.4E3,9.5E1,5.4E3,9.98,9.93,10.01,0.30,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
93,493.7894,7.8E2,2.7E2,7.8E2,2.65,2.59,2.69,4.5E1,493.7182,493.7917,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,493.7894,DETECTED,4.5E1,493.7182,493.7917,0.06,0.88,7.8E2,2.7E2,7.8E2,2.65,2.59,2.69,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
94,474.4000,2.9E3,9.2E2,2.9E3,2.92,2.88,2.97,1.6E2,474.3084,474.4001,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.4000,DETECTED,1.6E2,474.3084,474.4001,0.06,1.17,2.9E3,9.2E2,2.9E3,2.92,2.88,2.97,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
95,408.1058,5.6E2,5.0E1,5.6E2,3.24,3.19,3.30,3.4E1,408.0392,408.4000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,408.1058,DETECTED,3.4E1,408.0392,408.4000,0.06,1.00,5.6E2,5.0E1,5.6E2,3.24,3.19,3.30,1.00,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
96,474.2116,3.5E3,5.2E1,3.5E3,3.24,3.13,3.30,2.1E2,474.1123,474.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.2116,DETECTED,2.1E2,474.1123,474.5000,0.06,1.01,3.5E3,5.2E1,3.5E3,3.24,3.13,3.30,1.31,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
97,474.3403,2.1E3,1.6E2,2.1E3,3.78,3.74,3.83,1.2E2,473.9379,474.4007,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.3403,DETECTED,1.2E2,473.9379,474.4007,0.06,1.17,2.1E3,1.6E2,2.1E3,3.78,3.74,3.83,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
98,475.4443,6.5E2,1.2E2,6.5E2,3.94,3.89,4.00,3.8E1,475.3979,475.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,475.4443,DETECTED,3.8E1,475.3979,475.5000,0.07,1.00,6.5E2,1.2E2,6.5E2,3.94,3.89,4.00,0.80,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
99,474.4594,3.5E3,8.2E2,3.5E3,4.00,3.94,4.11,3.5E2,473.9032,474.5031,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.4594,DETECTED,3.5E2,473.9032,474.5031,0.14,1.63,3.5E3,8.2E2,3.5E3,4.00,3.94,4.11,2.25,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
100,635.6003,7.0E2,1.7E2,7.0E2,4.06,4.02,4.11,4.0E1,635.5012,635.6008,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,635.6003,DETECTED,4.0E1,635.5012,635.6008,0.06,1.17,7.0E2,1.7E2,7.0E2,4.06,4.02,4.11,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
101,569.2825,2.3E3,3.9E2,2.3E3,4.13,4.06,4.19,1.8E2,568.5999,569.6886,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,569.2825,DETECTED,1.8E2,568.5999,569.6886,0.08,1.00,2.3E3,3.9E2,2.3E3,4.13,4.06,4.19,0.87,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
102,714.4997,6.1E2,1.7E2,6.1E2,4.27,4.23,4.32,3.5E1,714.4983,714.6314,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,714.4997,DETECTED,3.5E1,714.4983,714.6314,0.06,1.17,6.1E2,1.7E2,6.1E2,4.27,4.23,4.32,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
103,696.7000,1.1E3,4.0E2,1.1E3,4.29,4.26,4.35,6.2E1,696.6999,696.7000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,696.7000,DETECTED,6.2E1,696.6999,696.7000,0.06,1.17,1.1E3,4.0E2,1.1E3,4.29,4.26,4.35,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
104,474.2648,1.4E3,5.7E1,1.4E3,4.49,4.40,4.55,1.1E2,474.2287,474.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.2648,DETECTED,1.1E2,474.2287,474.5000,0.07,0.93,1.4E3,5.7E1,1.4E3,4.49,4.40,4.55,0.90,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
105,474.2797,7.6E2,2.4E2,7.6E2,4.70,4.66,4.75,4.6E1,474.1044,474.3084,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.2797,DETECTED,4.6E1,474.1044,474.3084,0.06,1.17,7.6E2,2.4E2,7.6E2,4.70,4.66,4.75,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
106,474.2611,1.9E3,8.6E1,1.9E3,4.84,4.75,4.90,1.5E2,474.1992,474.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.2611,DETECTED,1.5E2,474.1992,474.5000,0.10,0.92,1.9E3,8.6E1,1.9E3,4.84,4.75,4.90,1.01,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
107,588.4996,1.4E3,5.7E1,1.4E3,4.88,4.83,4.94,8.9E1,588.4991,588.5154,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,588.4996,DETECTED,8.9E1,588.4991,588.5154,0.06,1.13,1.4E3,5.7E1,1.4E3,4.88,4.83,4.94,1.25,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
108,506.2024,5.9E2,5.1E1,5.9E2,4.93,4.88,4.98,3.5E1,506.1998,506.3000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,506.2024,DETECTED,3.5E1,506.1998,506.3000,0.06,0.89,5.9E2,5.1E1,5.9E2,4.93,4.88,4.98,0.74,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
109,587.2037,5.0E3,1.3E3,5.0E3,4.96,4.89,5.05,5.7E2,587.1455,587.3023,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,587.2037,DETECTED,5.7E2,587.1455,587.3023,0.16,1.20,5.0E3,1.3E3,5.0E3,4.96,4.89,5.05,1.40,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
110,628.8688,2.3E3,3.5E2,2.3E3,5.07,4.98,5.11,1.6E2,627.9997,629.0994,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,628.8688,DETECTED,1.6E2,627.9997,629.0994,0.06,0.71,2.3E3,3.5E2,2.3E3,5.07,4.98,5.11,0.47,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
111,587.4106,6.0E3,7.8E2,6.0E3,5.15,5.05,5.25,7.5E2,587.3023,587.5679,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,587.4106,DETECTED,7.5E2,587.3023,587.5679,0.14,1.00,6.0E3,7.8E2,6.0E3,5.15,5.05,5.25,1.00,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
112,474.2404,1.7E3,3.0E2,1.7E3,5.24,5.14,5.36,2.5E2,474.0987,474.3084,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,474.2404,DETECTED,2.5E2,474.0987,474.3084,0.11,1.06,1.7E3,3.0E2,1.7E3,5.24,5.14,5.36,1.12,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
113,506.2080,9.4E2,7.1E1,9.4E2,5.27,5.22,5.34,5.9E1,506.1841,506.4011,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,506.2080,DETECTED,5.9E1,506.1841,506.4011,0.06,1.18,9.4E2,7.1E1,9.4E2,5.27,5.22,5.34,1.15,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
114,587.4987,3.1E3,5.2E1,3.1E3,5.31,5.25,5.36,1.9E2,587.3935,587.6000,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,587.4987,DETECTED,1.9E2,587.3935,587.6000,0.06,1.00,3.1E3,5.2E1,3.1E3,5.31,5.25,5.36,1.00,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
115,779.5922,5.6E2,1.8E2,5.6E2,5.40,5.36,5.45,3.2E1,779.5829,779.5974,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,779.5922,DETECTED,3.2E1,779.5829,779.5974,0.06,1.17,5.6E2,1.8E2,5.6E2,5.40,5.36,5.45,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
116,616.2982,5.9E2,9.4E1,5.9E2,5.41,5.36,5.46,3.6E1,616.2949,616.4671,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,616.2982,DETECTED,3.6E1,616.2949,616.4671,0.06,1.00,5.9E2,9.4E1,5.9E2,5.41,5.36,5.46,0.81,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
117,588.5001,9.1E2,2.2E2,9.1E2,5.44,5.38,5.47,5.2E1,588.4998,588.5154,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,588.5001,DETECTED,5.2E1,588.4998,588.5154,0.06,0.87,9.1E2,2.2E2,9.1E2,5.44,5.38,5.47,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
118,761.2024,1.5E3,5.3E1,1.5E3,5.47,5.44,5.53,8.6E1,761.1999,761.5030,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,761.2024,DETECTED,8.6E1,761.1999,761.5030,0.06,1.17,1.5E3,5.3E1,1.5E3,5.47,5.44,5.53,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
119,587.2927,2.1E3,5.6E1,2.1E3,5.50,5.45,5.55,1.2E2,587.2307,587.5000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,587.2927,DETECTED,1.2E2,587.2307,587.5000,0.06,0.88,2.1E3,5.6E1,2.1E3,5.50,5.45,5.55,0.72,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
120,745.6745,2.6E3,6.2E1,2.6E3,5.57,5.51,5.80,3.5E2,745.4000,745.8000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,745.6745,DETECTED,3.5E2,745.4000,745.8000,0.21,1.03,2.6E3,6.2E1,2.6E3,5.57,5.51,5.80,4.23,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
121,647.5844,1.0E3,3.9E2,1.0E3,5.66,5.62,5.71,5.9E1,647.5420,647.5898,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,647.5844,DETECTED,5.9E1,647.5420,647.5898,0.06,1.17,1.0E3,3.9E2,1.0E3,5.66,5.62,5.71,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
122,669.3999,8.5E2,2.0E2,8.5E2,5.67,5.62,5.71,4.8E1,669.0818,669.4000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,669.3999,DETECTED,4.8E1,669.0818,669.4000,0.06,0.88,8.5E2,2.0E2,8.5E2,5.67,5.62,5.71,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
123,686.4783,4.9E3,5.1E1,4.9E3,5.67,5.59,5.73,3.1E2,685.9000,686.6374,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,686.4783,DETECTED,3.1E2,685.9000,686.6374,0.06,0.97,4.9E3,5.1E1,4.9E3,5.67,5.59,5.73,0.91,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
124,745.6644,2.0E3,2.2E2,2.0E3,5.67,5.62,5.71,1.2E2,745.4567,745.6973,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,745.6644,DETECTED,1.2E2,745.4567,745.6973,0.06,0.88,2.0E3,2.2E2,2.0E3,5.67,5.62,5.71,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
125,506.0216,8.4E2,5.2E1,8.4E2,5.68,5.62,5.73,5.0E1,505.9999,506.7000,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,506.0216,DETECTED,5.0E1,505.9999,506.7000,0.06,0.93,8.4E2,5.2E1,8.4E2,5.68,5.62,5.73,1.36,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
126,587.5001,2.0E3,5.5E1,2.0E3,5.73,5.68,5.79,1.1E2,587.3035,587.6000,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,587.5001,DETECTED,1.1E2,587.3035,587.6000,0.07,0.88,2.0E3,5.5E1,2.0E3,5.73,5.68,5.79,0.74,2,1,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
127,618.6808,1.2E3,3.2E2,1.2E3,5.88,5.82,5.92,6.6E1,618.5486,618.6875,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,618.6808,DETECTED,6.6E1,618.5486,618.6875,0.06,0.87,1.2E3,3.2E2,1.2E3,5.88,5.82,5.92,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
