id,height,intensity_range:min,intensity_range:max,rt,charge,mz_range:min,mz_range:max,mz,area,rt_range:min,rt_range:max,datafile:PreIS__400_800_d161-r002.mzML:fwhm,datafile:PreIS__400_800_d161-r002.mzML:feature_state,datafile:PreIS__400_800_d161-r002.mzML:intensity_range:min,datafile:PreIS__400_800_d161-r002.mzML:intensity_range:max,datafile:PreIS__400_800_d161-r002.mzML:tailing_factor,datafile:PreIS__400_800_d161-r002.mzML:mz_range:min,datafile:PreIS__400_800_d161-r002.mzML:mz_range:max,datafile:PreIS__400_800_d161-r002.mzML:area,datafile:PreIS__400_800_d161-r002.mzML:rt_range:min,datafile:PreIS__400_800_d161-r002.mzML:rt_range:max,datafile:PreIS__400_800_d161-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_d161-r002.mzML:height,datafile:PreIS__400_800_d161-r002.mzML:rt,datafile:PreIS__400_800_d161-r002.mzML:mz,datafile:PreIS__400_800_d161-r002.mzML:charge,datafile:PreIS__400_800_d161-r002.mzML:isotopes,datafile:PreIS__1100_1500_d161-r001.mzML:fwhm,datafile:PreIS__1100_1500_d161-r001.mzML:feature_state,datafile:PreIS__1100_1500_d161-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_d161-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:area,datafile:PreIS__1100_1500_d161-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d161-r001.mzML:height,datafile:PreIS__1100_1500_d161-r001.mzML:rt,datafile:PreIS__1100_1500_d161-r001.mzML:mz,datafile:PreIS__1100_1500_d161-r001.mzML:charge,datafile:PreIS__1100_1500_d161-r001.mzML:isotopes,datafile:PreIS__750_1150_d161-r001.mzML:fwhm,datafile:PreIS__750_1150_d161-r001.mzML:feature_state,datafile:PreIS__750_1150_d161-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_d161-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_d161-r001.mzML:tailing_factor,datafile:PreIS__750_1150_d161-r001.mzML:mz_range:min,datafile:PreIS__750_1150_d161-r001.mzML:mz_range:max,datafile:PreIS__750_1150_d161-r001.mzML:area,datafile:PreIS__750_1150_d161-r001.mzML:rt_range:min,datafile:PreIS__750_1150_d161-r001.mzML:rt_range:max,datafile:PreIS__750_1150_d161-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_d161-r001.mzML:height,datafile:PreIS__750_1150_d161-r001.mzML:rt,datafile:PreIS__750_1150_d161-r001.mzML:mz,datafile:PreIS__750_1150_d161-r001.mzML:charge,datafile:PreIS__750_1150_d161-r001.mzML:isotopes,datafile:PreIS__750_1150_d161-r002.mzML:fwhm,datafile:PreIS__750_1150_d161-r002.mzML:feature_state,datafile:PreIS__750_1150_d161-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_d161-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_d161-r002.mzML:tailing_factor,datafile:PreIS__750_1150_d161-r002.mzML:mz_range:min,datafile:PreIS__750_1150_d161-r002.mzML:mz_range:max,datafile:PreIS__750_1150_d161-r002.mzML:area,datafile:PreIS__750_1150_d161-r002.mzML:rt_range:min,datafile:PreIS__750_1150_d161-r002.mzML:rt_range:max,datafile:PreIS__750_1150_d161-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_d161-r002.mzML:height,datafile:PreIS__750_1150_d161-r002.mzML:rt,datafile:PreIS__750_1150_d161-r002.mzML:mz,datafile:PreIS__750_1150_d161-r002.mzML:charge,datafile:PreIS__750_1150_d161-r002.mzML:isotopes,datafile:PreIS__1100_1500_d161-r002.mzML:fwhm,datafile:PreIS__1100_1500_d161-r002.mzML:feature_state,datafile:PreIS__1100_1500_d161-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_d161-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:area,datafile:PreIS__1100_1500_d161-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d161-r002.mzML:height,datafile:PreIS__1100_1500_d161-r002.mzML:rt,datafile:PreIS__1100_1500_d161-r002.mzML:mz,datafile:PreIS__1100_1500_d161-r002.mzML:charge,datafile:PreIS__1100_1500_d161-r002.mzML:isotopes,datafile:PreIS__400_800_d161-r001.mzML:fwhm,datafile:PreIS__400_800_d161-r001.mzML:feature_state,datafile:PreIS__400_800_d161-r001.mzML:intensity_range:min,datafile:PreIS__400_800_d161-r001.mzML:intensity_range:max,datafile:PreIS__400_800_d161-r001.mzML:tailing_factor,datafile:PreIS__400_800_d161-r001.mzML:mz_range:min,datafile:PreIS__400_800_d161-r001.mzML:mz_range:max,datafile:PreIS__400_800_d161-r001.mzML:area,datafile:PreIS__400_800_d161-r001.mzML:rt_range:min,datafile:PreIS__400_800_d161-r001.mzML:rt_range:max,datafile:PreIS__400_800_d161-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_d161-r001.mzML:height,datafile:PreIS__400_800_d161-r001.mzML:rt,datafile:PreIS__400_800_d161-r001.mzML:mz,datafile:PreIS__400_800_d161-r001.mzML:charge,datafile:PreIS__400_800_d161-r001.mzML:isotopes
35,4.3E3,1.7E2,4.3E3,4.86,,492.0987,492.3988,492.3756,2.7E2,4.80,4.96,0.06,DETECTED,1.7E2,4.3E3,1.27,492.0987,492.3988,2.7E2,4.80,4.96,1.65,4.3E3,4.86,492.3756,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
36,8.8E2,2.4E2,8.8E2,4.88,,508.0000,508.4015,508.1368,6.8E1,4.83,4.96,0.09,DETECTED,2.4E2,8.8E2,1.25,508.0000,508.4015,6.8E1,4.83,4.96,1.50,8.8E2,4.88,508.1368,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
37,2.1E3,4.7E2,2.1E3,4.90,,510.3001,510.5999,510.3620,1.3E2,4.84,4.94,0.06,DETECTED,4.7E2,2.1E3,0.80,510.3001,510.5999,1.3E2,4.84,4.94,0.60,2.1E3,4.90,510.3620,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
38,5.3E2,5.1E1,5.3E2,5.09,,670.2000,670.5969,670.5798,3.2E1,5.02,5.14,0.06,DETECTED,5.1E1,5.3E2,0.60,670.2000,670.5969,3.2E1,5.02,5.14,1.33,5.3E2,5.09,670.5798,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
39,7.9E2,2.4E2,7.9E2,5.10,,759.4994,759.5899,759.4994,4.6E1,5.06,5.15,0.06,DETECTED,2.4E2,7.9E2,1.17,759.4994,759.5899,4.6E1,5.06,5.15,1.33,7.9E2,5.10,759.4994,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
40,1.0E3,5.0E1,1.0E3,5.19,,756.5000,756.7992,756.7806,6.1E1,5.15,5.25,0.06,DETECTED,5.0E1,1.0E3,1.19,756.5000,756.7992,6.1E1,5.15,5.25,1.30,1.0E3,5.19,756.7806,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
41,3.2E3,6.2E1,3.2E3,5.20,,576.2000,576.6000,576.5579,2.0E2,5.15,5.31,0.07,DETECTED,6.2E1,3.2E3,1.26,576.2000,576.6000,2.0E2,5.15,5.31,1.47,3.2E3,5.20,576.5579,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
42,2.2E3,1.2E2,2.2E3,5.22,,633.1003,633.5019,633.1057,1.3E2,5.16,5.27,0.06,DETECTED,1.2E2,2.2E3,1.16,633.1003,633.5019,1.3E2,5.16,5.27,1.38,2.2E3,5.22,633.1057,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
43,3.3E3,5.1E1,3.3E3,5.22,,738.4000,738.5999,738.5971,1.9E2,5.16,5.29,0.06,DETECTED,5.1E1,3.3E3,0.87,738.4000,738.5999,1.9E2,5.16,5.29,0.70,3.3E3,5.22,738.5971,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
44,6.6E2,2.1E2,6.6E2,5.23,,776.6988,776.7988,776.7981,3.8E1,5.19,5.28,0.06,DETECTED,2.1E2,6.6E2,1.17,776.6988,776.7988,3.8E1,5.19,5.28,1.33,6.6E2,5.23,776.7981,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
45,5.6E3,9.1E1,5.6E3,5.31,,672.0988,672.3419,672.2721,3.3E2,5.24,5.38,0.06,DETECTED,9.1E1,5.6E3,0.99,672.0988,672.3419,3.3E2,5.24,5.38,0.80,5.6E3,5.31,672.2721,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
46,1.3E3,5.7E1,1.3E3,5.32,,654.0219,654.5000,654.4422,7.8E1,5.25,5.37,0.06,DETECTED,5.7E1,1.3E3,0.89,654.0219,654.5000,7.8E1,5.25,5.37,0.80,1.3E3,5.32,654.4422,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
47,9.2E2,3.2E2,9.2E2,5.33,,474.1986,474.2819,474.1996,5.3E1,5.28,5.37,0.06,DETECTED,3.2E2,9.2E2,0.87,474.1986,474.2819,5.3E1,5.28,5.37,0.75,9.2E2,5.33,474.1996,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
48,8.3E2,3.0E2,8.3E2,5.34,,759.5899,759.7002,759.6998,4.8E1,5.29,5.38,0.06,DETECTED,3.0E2,8.3E2,0.88,759.5899,759.7002,4.8E1,5.29,5.38,0.75,8.3E2,5.34,759.6998,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
49,5.3E3,9.1E1,5.3E3,5.38,1,675.2055,675.7000,675.4004,7.2E2,5.25,5.53,0.16,DETECTED,9.1E1,5.3E3,1.08,675.2055,675.7000,7.2E2,5.25,5.53,1.13,5.3E3,5.38,675.4004,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
50,1.4E3,3.8E2,1.4E3,5.40,,697.5000,697.5001,697.5000,8.1E1,5.34,5.44,0.06,DETECTED,3.8E2,1.4E3,0.87,697.5000,697.5001,8.1E1,5.34,5.44,0.75,1.4E3,5.40,697.5000,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
51,8.9E2,8.4E1,8.9E2,5.44,,676.3007,676.6400,676.5845,5.9E1,5.40,5.53,0.06,DETECTED,8.4E1,8.9E2,1.57,676.3007,676.6400,5.9E1,5.40,5.53,1.98,8.9E2,5.44,676.5845,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
52,9.7E2,5.0E1,9.7E2,5.47,,474.2819,474.4992,474.4975,5.6E1,5.44,5.53,0.06,DETECTED,5.0E1,9.7E2,1.17,474.2819,474.4992,5.6E1,5.44,5.53,1.33,9.7E2,5.47,474.4975,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
53,8.3E3,7.7E1,8.3E3,5.51,1,581.8000,582.3159,582.2674,5.1E2,5.45,5.59,0.06,DETECTED,7.7E1,8.3E3,1.15,581.8000,582.3159,5.1E2,5.45,5.59,1.39,8.3E3,5.51,582.2674,1,3,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
54,1.6E3,5.6E2,1.6E3,5.62,,492.2903,492.3988,492.2923,9.1E1,5.57,5.66,0.06,DETECTED,5.6E2,1.6E3,0.87,492.2903,492.3988,9.1E1,5.57,5.66,0.75,1.6E3,5.62,492.2923,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
55,1.4E3,7.8E1,1.4E3,5.64,,675.0527,675.5005,675.3936,9.4E1,5.53,5.69,0.06,DETECTED,7.8E1,1.4E3,0.69,675.0527,675.5005,9.4E1,5.53,5.69,0.40,1.4E3,5.64,675.3936,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
56,1.8E3,5.5E2,1.8E3,5.76,,550.2997,550.4499,550.2997,1.0E2,5.72,5.81,0.06,DETECTED,5.5E2,1.8E3,1.17,550.2997,550.4499,1.0E2,5.72,5.81,1.33,1.8E3,5.76,550.2997,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
57,5.4E2,5.1E1,5.4E2,5.86,,607.3000,607.4097,607.3902,3.2E1,5.81,5.92,0.06,DETECTED,5.1E1,5.4E2,0.89,607.3000,607.4097,3.2E1,5.81,5.92,0.75,5.4E2,5.86,607.3902,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
58,1.6E3,3.1E2,1.6E3,5.88,,474.2029,474.3948,474.3403,9.9E1,5.81,5.92,0.06,DETECTED,3.1E2,1.6E3,0.80,474.2029,474.3948,9.9E1,5.81,5.92,0.68,1.6E3,5.88,474.3403,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
59,5.8E2,1.5E2,5.8E2,5.92,,498.3981,498.4937,498.3991,3.3E1,5.86,5.95,0.06,DETECTED,1.5E2,5.8E2,0.87,498.3981,498.4937,3.3E1,5.86,5.95,0.75,5.8E2,5.92,498.3991,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
60,4.3E3,5.1E1,4.3E3,5.99,1,682.1110,682.3000,682.2146,2.5E2,5.93,6.06,0.06,DETECTED,5.1E1,4.3E3,1.22,682.1110,682.3000,2.5E2,5.93,6.06,1.42,4.3E3,5.99,682.2146,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
61,1.1E3,2.0E2,1.1E3,5.99,,700.5002,700.5353,700.5238,6.6E1,5.94,6.05,0.06,DETECTED,2.0E2,1.1E3,1.00,700.5002,700.5353,6.6E1,5.94,6.05,0.80,1.1E3,5.99,700.5238,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
62,1.2E3,3.0E2,1.2E3,6.03,,562.3330,562.5002,562.4995,6.8E1,5.99,6.08,0.06,DETECTED,3.0E2,1.2E3,1.17,562.3330,562.5002,6.8E1,5.99,6.08,1.33,1.2E3,6.03,562.4995,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
63,5.0E3,5.6E2,5.0E3,6.07,1,656.1005,656.2490,656.2272,3.0E2,6.01,6.12,0.06,DETECTED,5.6E2,5.0E3,0.90,656.1005,656.2490,3.0E2,6.01,6.12,0.98,5.0E3,6.07,656.2272,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
64,1.6E3,4.9E2,1.6E3,6.08,,474.2819,474.3991,474.3981,9.3E1,6.05,6.14,0.06,DETECTED,4.9E2,1.6E3,1.17,474.2819,474.3991,9.3E1,6.05,6.14,1.33,1.6E3,6.08,474.3981,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
65,9.9E2,5.1E1,9.9E2,6.10,,660.9000,661.3961,661.3793,5.8E1,6.02,6.14,0.06,DETECTED,5.1E1,9.9E2,0.74,660.9000,661.3961,5.8E1,6.02,6.14,0.80,9.9E2,6.10,661.3793,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
66,1.5E4,2.0E2,1.5E4,6.12,,492.3959,492.6003,492.4154,1.0E3,6.03,6.20,0.07,DETECTED,2.0E2,1.5E4,0.91,492.3959,492.6003,1.0E3,6.03,6.20,0.84,1.5E4,6.12,492.4154,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
67,5.5E3,7.6E1,5.5E3,6.12,1,510.1000,510.5000,510.3357,4.2E2,6.03,6.20,0.08,DETECTED,7.6E1,5.5E3,0.87,510.1000,510.5000,4.2E2,6.03,6.20,0.70,5.5E3,6.12,510.3357,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
68,1.0E3,2.8E2,1.0E3,6.19,,498.4937,498.6010,498.5998,5.9E1,6.14,6.23,0.06,DETECTED,2.8E2,1.0E3,0.88,498.4937,498.6010,5.9E1,6.14,6.23,0.75,1.0E3,6.19,498.5998,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
69,1.1E4,1.1E2,1.1E4,6.19,,703.2044,704.2011,703.6058,1.0E3,6.08,6.37,0.07,DETECTED,1.1E2,1.1E4,1.25,703.2044,704.2011,1.0E3,6.08,6.37,1.40,1.1E4,6.19,703.6058,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
70,2.1E3,6.9E1,2.1E3,6.45,,736.7000,736.8616,736.7974,1.2E2,6.41,6.53,0.06,DETECTED,6.9E1,2.1E3,1.16,736.7000,736.8616,1.2E2,6.41,6.53,1.24,2.1E3,6.45,736.7974,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
71,9.4E2,5.1E1,9.4E2,6.55,,731.3012,731.5354,731.3027,5.4E1,6.50,6.60,0.06,DETECTED,5.1E1,9.4E2,0.88,731.3012,731.5354,5.4E1,6.50,6.60,0.72,9.4E2,6.55,731.3027,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
72,2.6E3,5.9E2,2.6E3,6.55,,737.9999,738.4373,738.0000,1.5E2,6.51,6.60,0.06,DETECTED,5.9E2,2.6E3,1.17,737.9999,738.4373,1.5E2,6.51,6.60,1.33,2.6E3,6.55,738.0000,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
73,1.9E3,2.6E2,1.9E3,6.62,,728.4002,728.5655,728.5504,1.1E2,6.56,6.67,0.06,DETECTED,2.6E2,1.9E3,1.00,728.4002,728.5655,1.1E2,6.56,6.67,0.79,1.9E3,6.62,728.5504,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
74,2.2E3,6.7E2,2.2E3,6.63,,473.8999,474.2819,473.9000,1.2E2,6.58,6.67,0.06,DETECTED,6.7E2,2.2E3,0.88,473.8999,474.2819,1.2E2,6.58,6.67,0.75,2.2E3,6.63,473.9000,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
75,4.6E3,3.4E2,4.6E3,6.72,,520.3280,520.5000,520.4395,3.4E2,6.65,6.80,0.07,DETECTED,3.4E2,4.6E3,1.01,520.3280,520.5000,3.4E2,6.65,6.80,0.97,4.6E3,6.72,520.4395,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
76,6.6E3,3.1E2,6.6E3,6.72,,538.1749,538.2989,538.1936,4.1E2,6.67,6.80,0.06,DETECTED,3.1E2,6.6E3,1.11,538.1749,538.2989,4.1E2,6.67,6.80,0.98,6.6E3,6.72,538.1936,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
77,2.3E3,4.4E2,2.3E3,6.95,,731.3995,731.8000,731.4178,1.3E2,6.91,6.99,0.07,DETECTED,4.4E2,2.3E3,1.00,731.3995,731.8000,1.3E2,6.91,6.99,1.00,2.3E3,6.95,731.4178,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
78,9.5E2,5.9E1,9.5E2,7.11,,590.4727,590.6837,590.6808,5.5E1,7.06,7.16,0.06,DETECTED,5.9E1,9.5E2,1.16,590.4727,590.6837,5.5E1,7.06,7.16,1.38,9.5E2,7.11,590.6808,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
79,1.3E3,3.7E2,1.3E3,7.13,,586.3000,586.4513,586.3000,7.5E1,7.08,7.17,0.06,DETECTED,3.7E2,1.3E3,0.88,586.3000,586.4513,7.5E1,7.08,7.17,0.75,1.3E3,7.13,586.3000,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
80,1.2E4,1.4E2,1.2E4,7.15,1,756.5845,756.7431,756.6351,8.6E2,7.07,7.24,0.07,DETECTED,1.4E2,1.2E4,1.26,756.5845,756.7431,8.6E2,7.07,7.24,1.47,1.2E4,7.15,756.6351,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
