id,rt,area,mz_range:min,mz_range:max,intensity_range:min,intensity_range:max,charge,height,rt_range:min,rt_range:max,mz,datafile:PreIS__1100_1500_t180-r001.mzML:rt,datafile:PreIS__1100_1500_t180-r001.mzML:feature_state,datafile:PreIS__1100_1500_t180-r001.mzML:area,datafile:PreIS__1100_1500_t180-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:fwhm,datafile:PreIS__1100_1500_t180-r001.mzML:charge,datafile:PreIS__1100_1500_t180-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:height,datafile:PreIS__1100_1500_t180-r001.mzML:isotopes,datafile:PreIS__1100_1500_t180-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_t180-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_t180-r001.mzML:mz,datafile:PreIS__1100_1500_t180-r002.mzML:rt,datafile:PreIS__1100_1500_t180-r002.mzML:feature_state,datafile:PreIS__1100_1500_t180-r002.mzML:area,datafile:PreIS__1100_1500_t180-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:fwhm,datafile:PreIS__1100_1500_t180-r002.mzML:charge,datafile:PreIS__1100_1500_t180-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:height,datafile:PreIS__1100_1500_t180-r002.mzML:isotopes,datafile:PreIS__1100_1500_t180-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_t180-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_t180-r002.mzML:mz,datafile:PreIS__750_1150_t180-r002.mzML:rt,datafile:PreIS__750_1150_t180-r002.mzML:feature_state,datafile:PreIS__750_1150_t180-r002.mzML:area,datafile:PreIS__750_1150_t180-r002.mzML:mz_range:min,datafile:PreIS__750_1150_t180-r002.mzML:mz_range:max,datafile:PreIS__750_1150_t180-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_t180-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_t180-r002.mzML:fwhm,datafile:PreIS__750_1150_t180-r002.mzML:charge,datafile:PreIS__750_1150_t180-r002.mzML:rt_range:min,datafile:PreIS__750_1150_t180-r002.mzML:rt_range:max,datafile:PreIS__750_1150_t180-r002.mzML:height,datafile:PreIS__750_1150_t180-r002.mzML:isotopes,datafile:PreIS__750_1150_t180-r002.mzML:tailing_factor,datafile:PreIS__750_1150_t180-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_t180-r002.mzML:mz,datafile:PreIS__400_800_t180-r002.mzML:rt,datafile:PreIS__400_800_t180-r002.mzML:feature_state,datafile:PreIS__400_800_t180-r002.mzML:area,datafile:PreIS__400_800_t180-r002.mzML:mz_range:min,datafile:PreIS__400_800_t180-r002.mzML:mz_range:max,datafile:PreIS__400_800_t180-r002.mzML:intensity_range:min,datafile:PreIS__400_800_t180-r002.mzML:intensity_range:max,datafile:PreIS__400_800_t180-r002.mzML:fwhm,datafile:PreIS__400_800_t180-r002.mzML:charge,datafile:PreIS__400_800_t180-r002.mzML:rt_range:min,datafile:PreIS__400_800_t180-r002.mzML:rt_range:max,datafile:PreIS__400_800_t180-r002.mzML:height,datafile:PreIS__400_800_t180-r002.mzML:isotopes,datafile:PreIS__400_800_t180-r002.mzML:tailing_factor,datafile:PreIS__400_800_t180-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_t180-r002.mzML:mz,datafile:PreIS__750_1150_t180-r001.mzML:rt,datafile:PreIS__750_1150_t180-r001.mzML:feature_state,datafile:PreIS__750_1150_t180-r001.mzML:area,datafile:PreIS__750_1150_t180-r001.mzML:mz_range:min,datafile:PreIS__750_1150_t180-r001.mzML:mz_range:max,datafile:PreIS__750_1150_t180-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_t180-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_t180-r001.mzML:fwhm,datafile:PreIS__750_1150_t180-r001.mzML:charge,datafile:PreIS__750_1150_t180-r001.mzML:rt_range:min,datafile:PreIS__750_1150_t180-r001.mzML:rt_range:max,datafile:PreIS__750_1150_t180-r001.mzML:height,datafile:PreIS__750_1150_t180-r001.mzML:isotopes,datafile:PreIS__750_1150_t180-r001.mzML:tailing_factor,datafile:PreIS__750_1150_t180-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_t180-r001.mzML:mz,datafile:PreIS__400_800_t180-r001.mzML:rt,datafile:PreIS__400_800_t180-r001.mzML:feature_state,datafile:PreIS__400_800_t180-r001.mzML:area,datafile:PreIS__400_800_t180-r001.mzML:mz_range:min,datafile:PreIS__400_800_t180-r001.mzML:mz_range:max,datafile:PreIS__400_800_t180-r001.mzML:intensity_range:min,datafile:PreIS__400_800_t180-r001.mzML:intensity_range:max,datafile:PreIS__400_800_t180-r001.mzML:fwhm,datafile:PreIS__400_800_t180-r001.mzML:charge,datafile:PreIS__400_800_t180-r001.mzML:rt_range:min,datafile:PreIS__400_800_t180-r001.mzML:rt_range:max,datafile:PreIS__400_800_t180-r001.mzML:height,datafile:PreIS__400_800_t180-r001.mzML:isotopes,datafile:PreIS__400_800_t180-r001.mzML:tailing_factor,datafile:PreIS__400_800_t180-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_t180-r001.mzML:mz
1,3.83,1.4E3,1153.4000,1153.9332,6.4E1,2.2E4,1,2.2E4,3.77,3.92,1153.8905,3.83,DETECTED,1.4E3,1153.4000,1153.9332,6.4E1,2.2E4,0.06,1,3.77,3.92,2.2E4,2,1.00,1.03,1153.8905,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
2,3.85,1.1E2,1135.6000,1136.1101,5.1E1,1.6E3,,1.6E3,3.76,3.90,1136.0126,3.85,DETECTED,1.1E2,1135.6000,1136.1101,5.1E1,1.6E3,0.06,,3.76,3.90,1.6E3,,0.84,0.74,1136.0126,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
3,4.60,4.6E2,1181.6000,1182.0992,5.1E1,6.7E3,1,6.7E3,4.51,4.69,1181.8764,4.60,DETECTED,4.6E2,1181.6000,1182.0992,5.1E1,6.7E3,0.06,1,4.51,4.69,6.7E3,2,1.27,1.51,1181.8764,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
4,5.03,5.2E2,1227.4000,1228.0084,5.3E1,7.3E3,1,7.3E3,4.96,5.15,1227.8796,5.03,DETECTED,5.2E2,1227.4000,1228.0084,5.3E1,7.3E3,0.07,1,4.96,5.15,7.3E3,3,1.35,1.77,1227.8796,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
5,5.16,1.7E2,1209.6106,1210.1000,3.9E2,1.9E3,,1.9E3,5.09,5.24,1209.8792,5.16,DETECTED,1.7E2,1209.6106,1210.1000,3.9E2,1.9E3,0.10,,5.09,5.24,1.9E3,,1.10,1.20,1209.8792,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
6,5.22,6.7E1,1262.6094,1262.7000,2.9E2,1.2E3,,1.2E3,5.17,5.26,1262.7000,5.22,DETECTED,6.7E1,1262.6094,1262.7000,2.9E2,1.2E3,0.06,,5.17,5.26,1.2E3,,0.87,0.75,1262.7000,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
7,5.51,9.8E1,1280.7652,1281.2068,8.3E1,1.8E3,,1.8E3,5.44,5.55,1281.1907,5.51,DETECTED,9.8E1,1280.7652,1281.2068,8.3E1,1.8E3,0.07,,5.44,5.55,1.8E3,,0.88,0.99,1281.1907,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
8,5.54,6.9E1,1253.7108,1253.9000,6.9E1,1.2E3,,1.2E3,5.47,5.57,1253.8703,5.54,DETECTED,6.9E1,1253.7108,1253.9000,6.9E1,1.2E3,0.06,,5.47,5.57,1.2E3,,0.87,0.78,1253.8703,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
9,5.59,7.6E1,1265.7000,1265.9849,1.4E2,1.3E3,,1.3E3,5.55,5.65,1265.7138,5.59,DETECTED,7.6E1,1265.7000,1265.9849,1.4E2,1.3E3,0.06,,5.55,5.65,1.3E3,,1.33,1.35,1265.7138,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
10,5.60,5.4E2,1263.8998,1264.1776,1.2E2,7.4E3,1,7.4E3,5.52,5.69,1264.0675,5.60,DETECTED,5.4E2,1263.8998,1264.1776,1.2E2,7.4E3,0.07,1,5.52,5.69,7.4E3,2,1.32,1.58,1264.0675,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
11,5.63,5.8E2,1237.7975,1238.4041,6.2E1,8.7E3,1,8.7E3,5.55,5.76,1237.9195,5.63,DETECTED,5.8E2,1237.7975,1238.4041,6.2E1,8.7E3,0.06,1,5.55,5.76,8.7E3,3,1.42,1.21,1237.9195,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
12,5.73,1.6E2,1267.8974,1268.0352,7.7E2,2.8E3,,2.8E3,5.69,5.78,1267.8978,5.73,DETECTED,1.6E2,1267.8974,1268.0352,7.7E2,2.8E3,0.06,,5.69,5.78,2.8E3,,1.17,1.33,1267.8978,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
13,5.83,3.1E1,1253.1893,1253.7108,1.4E2,5.4E2,,5.4E2,5.78,5.87,1253.1951,5.83,DETECTED,3.1E1,1253.1893,1253.7108,1.4E2,5.4E2,0.06,,5.78,5.87,5.4E2,,0.87,0.75,1253.1951,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
14,5.86,2.5E2,1251.6051,1251.7025,8.0E2,3.4E3,,3.4E3,5.80,5.93,1251.6420,5.86,DETECTED,2.5E2,1251.6051,1251.7025,8.0E2,3.4E3,0.08,,5.80,5.93,3.4E3,,1.00,1.00,1251.6420,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
15,5.95,5.7E1,1282.3000,1282.5494,6.1E1,9.9E2,,9.9E2,5.91,6.02,1282.3923,5.95,DETECTED,5.7E1,1282.3000,1282.5494,6.1E1,9.9E2,0.06,,5.91,6.02,9.9E2,,1.18,1.27,1282.3923,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
16,6.02,4.5E1,1292.0959,1292.3262,2.0E2,7.8E2,,7.8E2,5.96,6.06,1292.0982,6.02,DETECTED,4.5E1,1292.0959,1292.3262,2.0E2,7.8E2,0.06,,5.96,6.06,7.8E2,,0.88,0.75,1292.0982,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
17,6.06,4.4E2,1265.8214,1266.1847,6.9E2,6.7E3,1,6.7E3,5.98,6.09,1265.9595,6.06,DETECTED,4.4E2,1265.8214,1266.1847,6.9E2,6.7E3,0.06,1,5.98,6.09,6.7E3,2,0.75,0.60,1265.9595,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
18,6.95,2.8E1,1135.2990,1135.8714,2.7E2,5.2E2,,5.2E2,6.91,6.99,1135.2991,6.95,DETECTED,2.8E1,1135.2990,1135.8714,2.7E2,5.2E2,0.08,,6.91,6.99,5.2E2,,1.00,1.00,1135.2991,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
19,7.04,7.5E2,1199.4000,1200.2938,5.0E1,9.9E3,1,9.9E3,6.95,7.13,1200.0666,7.04,DETECTED,7.5E2,1199.4000,1200.2938,5.0E1,9.9E3,0.07,1,6.95,7.13,9.9E3,3,0.78,0.60,1200.0666,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
20,7.11,4.2E1,1134.7981,1135.2000,5.5E1,6.3E2,1,6.3E2,7.03,7.19,1134.8306,7.11,DETECTED,4.2E1,1134.7981,1135.2000,5.5E1,6.3E2,0.06,1,7.03,7.19,6.3E2,2,1.25,0.71,1134.8306,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
21,7.11,4.2E1,1134.7981,1135.2000,5.5E1,6.3E2,1,6.3E2,7.03,7.19,1134.8306,7.11,DETECTED,4.2E1,1134.7981,1135.2000,5.5E1,6.3E2,0.06,1,7.03,7.19,6.3E2,2,1.25,0.71,1134.8306,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
22,7.16,2.1E3,1147.3019,1147.7109,1.3E3,3.3E4,1,3.3E4,7.09,7.24,1147.5182,7.16,DETECTED,2.1E3,1147.3019,1147.7109,1.3E3,3.3E4,0.06,1,7.09,7.24,3.3E4,6,1.16,1.31,1147.5182,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
23,7.17,1.3E2,1108.7993,1109.2000,1.5E2,1.7E3,,1.7E3,7.08,7.25,1108.8392,7.17,DETECTED,1.3E2,1108.7993,1109.2000,1.5E2,1.7E3,0.07,,7.08,7.25,1.7E3,,0.88,0.76,1108.8392,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
24,7.20,3.8E1,1239.0777,1239.1996,2.5E2,6.5E2,,6.5E2,7.15,7.24,1239.1993,7.20,DETECTED,3.8E1,1239.0777,1239.1996,2.5E2,6.5E2,0.06,,7.15,7.24,6.5E2,,0.88,0.75,1239.1993,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
25,7.24,3.6E1,1207.5000,1207.6674,5.0E1,6.0E2,,6.0E2,7.16,7.29,1207.5967,7.24,DETECTED,3.6E1,1207.5000,1207.6674,5.0E1,6.0E2,0.06,,7.16,7.29,6.0E2,,0.59,0.96,1207.5967,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
26,7.42,1.1E2,1188.0428,1188.1000,5.4E2,2.0E3,,2.0E3,7.38,7.47,1188.1000,7.42,DETECTED,1.1E2,1188.0428,1188.1000,5.4E2,2.0E3,0.06,,7.38,7.47,2.0E3,,1.17,1.33,1188.1000,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
27,7.45,1.7E3,1221.3927,1221.6999,2.1E2,2.6E4,1,2.6E4,7.38,7.54,1221.4437,7.45,DETECTED,1.7E3,1221.3927,1221.6999,2.1E2,2.6E4,0.06,1,7.38,7.54,2.6E4,7,1.12,1.20,1221.4437,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
28,7.45,1.7E3,1221.3927,1221.6999,2.1E2,2.6E4,1,2.6E4,7.38,7.54,1221.4437,7.45,DETECTED,1.7E3,1221.3927,1221.6999,2.1E2,2.6E4,0.06,1,7.38,7.54,2.6E4,7,1.12,1.20,1221.4437,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
29,7.60,6.5E1,1136.9614,1137.1000,5.1E1,1.0E3,,1.0E3,7.51,7.65,1137.0532,7.60,DETECTED,6.5E1,1136.9614,1137.1000,5.1E1,1.0E3,0.06,,7.51,7.65,1.0E3,,0.85,1.31,1137.0532,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
30,7.71,1.1E2,1301.3524,1301.8044,3.3E2,1.5E3,,1.5E3,7.67,7.78,1301.6987,7.71,DETECTED,1.1E2,1301.3524,1301.8044,3.3E2,1.5E3,0.08,,7.67,7.78,1.5E3,,1.50,2.00,1301.6987,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
31,7.72,5.9E1,1261.7882,1261.7998,3.5E2,1.0E3,,1.0E3,7.67,7.76,1261.7997,7.72,DETECTED,5.9E1,1261.7882,1261.7998,3.5E2,1.0E3,0.06,,7.67,7.76,1.0E3,,0.87,0.75,1261.7997,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
32,7.72,1.5E3,1295.4000,1295.6148,5.0E1,2.3E4,1,2.3E4,7.64,7.84,1295.4761,7.72,DETECTED,1.5E3,1295.4000,1295.6148,5.0E1,2.3E4,0.06,1,7.64,7.84,2.3E4,5,0.89,0.85,1295.4761,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
33,7.72,1.5E3,1295.4000,1295.6148,5.0E1,2.3E4,1,2.3E4,7.64,7.84,1295.4761,7.72,DETECTED,1.5E3,1295.4000,1295.6148,5.0E1,2.3E4,0.06,1,7.64,7.84,2.3E4,5,0.89,0.85,1295.4761,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
34,7.85,9.0E1,1163.0969,1163.7016,4.3E2,1.4E3,,1.4E3,7.78,7.89,1163.5861,7.85,DETECTED,9.0E1,1163.0969,1163.7016,4.3E2,1.4E3,0.07,,7.78,7.89,1.4E3,,0.80,0.60,1163.5861,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
35,7.93,9.0E1,1135.3000,1135.8714,7.7E1,1.6E3,,1.6E3,7.89,7.98,1135.7929,7.93,DETECTED,9.0E1,1135.3000,1135.8714,7.7E1,1.6E3,0.06,,7.89,7.98,1.6E3,,1.17,1.33,1135.7929,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
36,7.98,3.3E2,1131.5448,1131.7885,1.6E2,4.5E3,1,4.5E3,7.90,8.08,1131.6206,7.98,DETECTED,3.3E2,1131.5448,1131.7885,1.6E2,4.5E3,0.07,1,7.90,8.08,4.5E3,3,1.23,1.55,1131.6206,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
37,7.98,1.5E3,1369.5184,1369.7779,2.1E2,2.2E4,1,2.2E4,7.89,8.06,1369.6952,7.98,DETECTED,1.5E3,1369.5184,1369.7779,2.1E2,2.2E4,0.06,1,7.89,8.06,2.2E4,7,0.89,0.77,1369.6952,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
38,7.98,1.5E3,1369.5184,1369.7779,2.1E2,2.2E4,1,2.2E4,7.89,8.06,1369.6952,7.98,DETECTED,1.5E3,1369.5184,1369.7779,2.1E2,2.2E4,0.06,1,7.89,8.06,2.2E4,7,0.89,0.77,1369.6952,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
39,8.20,8.5E1,1412.1329,1412.2998,3.3E2,1.5E3,,1.5E3,8.16,8.25,1412.2995,8.20,DETECTED,8.5E1,1412.1329,1412.2998,3.3E2,1.5E3,0.07,,8.16,8.25,1.5E3,,1.17,1.33,1412.2995,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
40,8.20,1.9E2,1448.9145,1449.8996,4.5E2,2.7E3,,2.7E3,8.16,8.29,1449.5401,8.20,DETECTED,1.9E2,1448.9145,1449.8996,4.5E2,2.7E3,0.06,,8.16,8.29,2.7E3,,1.67,2.16,1449.5401,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
41,8.21,1.2E3,1443.3984,1443.8525,6.5E1,1.7E4,1,1.7E4,8.13,8.32,1443.6167,8.21,DETECTED,1.2E3,1443.3984,1443.8525,6.5E1,1.7E4,0.07,1,8.13,8.32,1.7E4,5,1.03,1.07,1443.6167,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
42,8.21,1.2E3,1443.3984,1443.8525,6.5E1,1.7E4,1,1.7E4,8.13,8.32,1443.6167,8.21,DETECTED,1.2E3,1443.3984,1443.8525,6.5E1,1.7E4,0.07,1,8.13,8.32,1.7E4,5,1.03,1.07,1443.6167,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
43,8.23,5.3E1,1409.5331,1409.5998,2.4E2,9.2E2,,9.2E2,8.19,8.28,1409.5997,8.23,DETECTED,5.3E1,1409.5331,1409.5998,2.4E2,9.2E2,0.06,,8.19,8.28,9.2E2,,1.17,1.33,1409.5997,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
44,8.25,1.8E2,1205.4991,1205.9000,2.6E2,2.1E3,1,2.1E3,8.19,8.37,1205.5888,8.25,DETECTED,1.8E2,1205.4991,1205.9000,2.6E2,2.1E3,0.08,1,8.19,8.37,2.1E3,3,1.40,1.64,1205.5888,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
