Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
"[""Cer 16:1;O2/24:0"", ""Cer 16:1;O2/23:1;O""]",622.6116787058824,236.23782400000005,8.28,1.0,35,Positive
Cer 18:1;O/21:0;O2,624.593084,266.284774,8.2775,1.0,35,Positive
"[""Cer 18:0;O2/22:0""]",624.629469,284.295339,8.543750000000001,1.1524999999999999,35,Positive
Cer 19:0;O3/20:0,626.6087339999999,296.295339,8.344999999999999,1.0,35,Positive
"[""Cer 18:1;O2/23:3""]",630.5825189999999,264.26912400000003,8.201666666666666,1.0,35,Positive
"[""Cer 18:2;O2/23:2""]",630.5825189999999,262.25347400000004,8.3,1.0,35,Positive
Cer 18:1;O2/23:2,632.598169,264.26912400000003,8.723333333333334,1.0,35,Positive
"[""Cer 18:1;O/24:1""]",632.634554,266.284774,8.254999999999999,1.0,35,Positive
Cer 19:2;O/23:0,632.634554,278.284774,8.64,1.0,35,Positive
Cer 20:2;O/22:0,632.634554,292.300424,8.695,1.0,35,Positive
"[""Cer 17:1;O2/24:1"", ""Cer 17:1;O2/23:2;O""]",634.6009021372548,250.253474,7.9725,1.0,35,Positive
"[""Cer 18:1;O2/23:1"", ""Cer 18:1;O2/22:2;O""]",634.6009021372548,264.26912400000003,8.0075,1.0,35,Positive
"[""Cer 18:2;O2/23:0"", ""Cer 18:2;O2/22:1;O""]",634.6009021372548,262.25347400000004,8.06,1.0,35,Positive
"[""Cer 18:0;O2/23:2""]",634.6138189999999,284.295339,8.75,1.0,35,Positive
"[""Cer 18:1;O/24:0"", ""Cer 18:1;O/23:1;O"", ""Cer 18:1;O/22:2;O2""]",634.6244312916666,266.284774,8.743749999999999,1.0,35,Positive
"[""Cer 18:0;O3/22:2""]",636.593084,282.279689,8.8,1.6199999999999992,35,Positive
"[""Cer 16:1;O2/24:1;O"", ""Cer 16:1;O2/25:0""]",636.5949989999999,236.23782400000002,8.5175,1.0,35,Positive
"[""Cer 19:1;O2/22:0"", ""Cer 19:1;O2/21:1;O""]",636.6165521372549,278.284774,8.41,1.0,35,Positive
"[""Cer 18:1;O2/23:0"", ""Cer 18:1;O2/22:1;O""]",636.6165521372549,264.26912400000003,8.482500000000002,1.0050000000000017,35,Positive
"[""Cer 17:1;O2/24:0"", ""Cer 17:1;O2/23:1;O""]",636.6165521372549,250.253474,8.5,1.0,35,Positive
"[""Cer 18:1;O/22:0;O2""]",638.6087339999999,266.284774,8.515,1.0,35,Positive
"[""Cer 18:0;O2/22:1;O"", ""Cer 18:0;O2/23:0""]",638.622139,284.29533900000007,8.6,1.1999999999999993,35,Positive
"[""Cer 18:0;O3/22:0"", ""Cer 18:0;O3/22:0""]",640.624384,282.279689,7.735,1.6500000000000004,35,Positive
"[""Cer 19:1;O2/23:3""]",644.598169,278.284774,8.3475,1.0,35,Positive
"[""Cer 18:2;O2/24:1""]",646.6138189999999,262.25347400000004,7.77,1.0,35,Positive
"[""Cer 18:1;O2/24:2""]",646.6138189999999,264.26912400000003,8.345208333333334,2.212916666666665,35,Positive
"[""Cer 17:1;O2/25:2"", ""Cer 17:2;O/26:0""]",646.6308744687499,250.25347400000004,7.76,1.0,35,Positive
