Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
Cer 19:2;O/23:0,632.634554,278.284774,8.64,1,35,Positive
Cer 20:2;O/22:0,632.634554,292.300424,8.695,1,35,Positive
"[""Cer 17:1;O2/24:1"", ""Cer 17:1;O2/23:2;O""]",634.6009021,250.253474,7.9725,1,35,Positive
"[""Cer 18:1;O2/23:1"", ""Cer 18:1;O2/22:2;O""]",634.6009021,264.269124,8.0075,1,35,Positive
"[""Cer 18:2;O2/23:0"", ""Cer 18:2;O2/22:1;O""]",634.6009021,262.253474,8.06,1,35,Positive
"[""Cer 18:0;O2/23:2""]",634.613819,284.295339,8.75,1,35,Positive
"[""Cer 18:1;O/24:0"", ""Cer 18:1;O/23:1;O"", ""Cer 18:1;O/22:2;O2""]",634.6244313,266.284774,8.74375,1,35,Positive
"[""Cer 18:0;O3/22:2""]",636.593084,282.279689,8.8,1.62,35,Positive
"[""Cer 16:1;O2/24:1;O"", ""Cer 16:1;O2/25:0""]",636.594999,236.237824,8.5175,1,35,Positive
"[""Cer 19:1;O2/22:0"", ""Cer 19:1;O2/21:1;O""]",636.6165521,278.284774,8.41,1,35,Positive
"[""Cer 18:1;O2/23:0"", ""Cer 18:1;O2/22:1;O""]",636.6165521,264.269124,8.4825,1.005,35,Positive
"[""Cer 17:1;O2/24:0"", ""Cer 17:1;O2/23:1;O""]",636.6165521,250.253474,8.5,1,35,Positive
"[""Cer 18:1;O/22:0;O2""]",638.608734,266.284774,8.515,1,35,Positive
"[""Cer 18:0;O2/22:1;O"", ""Cer 18:0;O2/23:0""]",638.622139,284.295339,8.6,1.2,35,Positive
"[""Cer 18:0;O3/22:0"", ""Cer 18:0;O3/22:0""]",640.624384,282.279689,7.735,1.65,35,Positive
"[""Cer 19:1;O2/23:3""]",644.598169,278.284774,8.3475,1,35,Positive
"[""Cer 18:2;O2/24:1""]",646.613819,262.253474,7.77,1,35,Positive
"[""Cer 18:1;O2/24:2""]",646.613819,264.269124,8.345208333,2.212916667,35,Positive
"[""Cer 17:1;O2/25:2"", ""Cer 17:2;O/26:0""]",646.6308745,250.253474,7.76,1,35,Positive
"[""Cer 19:1;O2/23:2"", ""Cer 19:2;O/24:0""]",646.6308745,278.284774,8.87,1,35,Positive
"[""Cer 18:1;O/25:1""]",646.650204,266.284774,8.89,1,35,Positive
Cer 20:2;O/23:0,646.650204,292.300424,8.935,1,35,Positive
"[""Cer 18:0;O3/23:3""]",648.593084,282.279689,8.5325,1.655,35,Positive
"[""Cer 18:1;O2/24:1"", ""Cer 18:1;O2/23:2;O""]",648.6165521,264.269124,8.20125,1.0025,35,Positive
"[""Cer 17:1;O2/25:1"", ""Cer 17:1;O2/24:2;O""]",648.6165521,250.253474,8.29,1,35,Positive
"[""Cer 18:2;O2/24:0"", ""Cer 18:2;O2/23:1;O""]",648.6165521,262.253474,8.3,1,35,Positive
"[""Cer 18:0;O3/23:2""]",650.608734,282.279689,9.04,1.62,35,Positive
"[""Cer 19:1;O2/23:0"", ""Cer 19:1;O2/22:1;O""]",650.6322021,278.284774,8.6425,1,35,Positive
"[""Cer 20:1;O2/22:0"", ""Cer 20:1;O2/21:1;O""]",650.6429787,292.300424,8.7025,1,35,Positive
"[""Cer 18:1;O/24:0;O"", ""Cer 18:1;O/23:1;O2""]",650.6430976,266.284774,8.23,1,35,Positive
"[""Cer 18:1;O2/24:0"", ""Cer 18:1;O2/23:1;O""]",650.6440489,264.269124,8.723333333,1.006666667,35,Positive
"[""Cer 18:0;O2/24:1""]",650.645119,284.295339,8.4925,1.155,35,Positive
"[""Cer 18:1;O2/23:0;O""]",652.624384,264.269124,8.245,1,35,Positive
Cer 18:1;O/23:0;O2,652.624384,266.284774,8.745,1,35,Positive
"[""Cer 18:0;O2/24:0"", ""Cer 18:0;O2/23:1;O""]",652.6596989,284.295339,8.84,1.215,35,Positive
Cer 16:0;O3/25:0,654.640034,254.248389,5.315,1,35,Positive
"[""Cer 18:0;O3/23:0""]",654.640034,282.279689,7.9925,1.635,35,Positive
Cer 20:2;O/24:0,660.665854,292.300424,9.15,1,35,Positive
"[""Cer 18:1;O2/25:1"", ""Cer 18:1;O2/24:2;O""]",662.6322021,264.269124,8.428333333,1.003333333,35,Positive
"[""Cer 18:2;O2/25:0"", ""Cer 18:2;O2/24:1;O""]",662.6322021,262.253474,8.54,1,35,Positive
